year,pct,crimsusp,datestop,timestop,recstat,inout,trhsloc,perobs,ser_num,perstop,typeofid,explnstp,arstmade,othpers,arstoffn,frisked,sumoffen,compyear,comppct,offunif,officrid,sumissue,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,sex,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,race,ac_stsnd,ac_other,sb_hdobj,sb_outln,city,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,rf_vcact,rf_knowl,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,sb_admis,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM
2014,67,FEL,1012014,2330,1,O,P,1,15,5,V,Y,N,Y, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,B,N,N,N,N,BROOKLYN,N,186,186,N,N, ,S, ,N,Y,12311900,18,5,7,150,BK,BR,M, ,L, , , , , ,CHURCH AVENUE,EAST 39 STREET, ,N, , ,67,G, , ,1000633,176542,CM,1,20
2014,7,CRIMINAL MISCHIEF,1032014,1530,1,I,T,2,26,5,P,Y,Y,N,PL 170.25,Y, ,0,0,N, ,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,M,N,N,N,N,N,N,N,N,N,N,N,N,Y,B,N,N,N,N,MANHATTAN,Y,863,863,N,N,V,S,OT,N,N,12311900,31,5,7,160,BK,BR,M, ,L, , ,MEZZANINE (POST 0431), , ,ESSEX STREET,DELANCEY STREET, ,N, , ,7,B,2, ,987521,201066,CM,1,23
2014,84,GRAND LARCENY (FEL),1042014,2100,A,I,P,1,52,10,P,Y,N,Y, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,M,N,N,Y,N,N,N,N,N,N,N,Y,N,N,B,N,N,N,N,BROOKLYN,N,84,84,Y,N,V,S, ,N,N,12311900,16,5,8,160,BK,BR,T, ,L, , ,HOTEL,224,DUFFIELD STREET,FULTON STREET,WILLOUGHBY STREET, ,N, , ,84,F, , ,988579,191174,CM,1,45
2014,84,CRIM TRESPASS,1092014,1250,1,I,H,1,13,5,P,Y,N,Y, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,M,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,A,N,N,N,N,BROOKLYN,N,84,84,Y,N, , , ,N,Y,12311900,19,5,7,150,BK,BR,Z,SMALL,L, , ,LOBBY,190,YORK STREET,GOLD STREET,BRIDGE STREET, ,N, , ,84,D, , ,988827,194808,CM,1,31
2014,77,FEL,1092014,1310,1,I,P,1,19,2,P,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,M,Y,N,N,N,Y,N,Y,N,N,N,N,Y,Y,B,N,N,N,N,BROOKLYN,N,187,187,N,N,V,S, ,N,N,12311900,32,5,10,200,BK,BR,U, ,L, , ,STREET, , ,RALPH AVENUE,BERGEN STREET, ,N, , ,77,J,1, ,1005873,185052,CM,1,46
2014,44,CPW (GRAVITY KNIFE),1152014,2220,A,O,P,2,62,5,V,Y,Y,N,CPW PL 265.01,Y, ,0,0,Y, ,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,N,N,Y,N,Y,N,N,N,N,Y,N,Y,N,B,N,N,Y,N,BRONX,Y,163,163,Y,Y, , ,DS,N,N,12311900,22,5,9,160,BK,BR,M, ,L, , ,STREET,364,EAST 170 STREET,CLAY AVENUE,TELLER AVENUE, ,N, , ,44,R, ,66,1009416,244229,CM,1,20
2014,66,FEL,1172014,2200,A,O,P,1,61,5,P,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,N,N,N,Y,N,B,N,N,N,N,BROOKLYN,N,90,90,Y,N,V,S, ,N,N,12311900,32,6,0,180,BK,BR,T, ,L, , ,STREET, , ,SUBWAY BROOKLYN BMT,55 STREET, ,N, , ,66,D, , , , ,CM,1,20
2014,79,PL 140.10E,1262014,250,1,I,H,1,97,2,P,Y,Y,N,140.1,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,B,N,Y,N,N,BROOKLYN,N,165,79,N,N, , , ,N,N,12311900,49,5,7,160,BK,BR,Z, ,L, , ,ROOF LANDING,360,NOSTRAND AVENUE,QUINCY STREET,LEXINGTON AVENUE, ,N, , ,79,H,7, ,997847,189692,CM,1,112
2014,52,FELONY,1302014,2215,A,I,P,1,70,5,P,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,Q,N,N,N,N,BRONX,N,52,52,Y,N,V,S, ,N,N,12311900,24,5,9,190,BK,BR,M, ,L, , ,ROOF LADNDING,2532,UNIVERSITY AVENUE,WEST 192 STREET,WEST 190 STREET, ,N, , ,52,C, , ,1011120,254774,CM,1,14
2014,63,FEL,1312014,2015,1,O,P,2,38,5,V,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,M,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,B,N,N,N,N,BROOKLYN,N,186,186,N,N,V,S,SF,Y,Y,12311900,41,5,10,160,BK,BR,M, ,L, , ,SIDEWALK, , ,AVENUE M,RYDER STREET, ,N, , ,63,F, , ,1001738,165362,CM,1,14
